post_sector,macro,micro
AB10 1,Scotland,STV North
AB10 6,Scotland,STV North
AB10 7,Scotland,STV North
AB11 5,Scotland,STV North
AB11 6,Scotland,STV North
AB11 7,Scotland,STV North
AB11 8,Scotland,STV North
AB11 9,Scotland,STV North
AB12 3,Scotland,STV North
AB12 4,Scotland,STV North
AB12 5,Scotland,STV North
AB12 9,Scotland,STV North
AB13 0,Scotland,STV North
AB14 0,Scotland,STV North
AB15 4,Scotland,STV North
AB15 5,Scotland,STV North
AB15 6,Scotland,STV North
AB15 7,Scotland,STV North
AB15 8,Scotland,STV North
AB15 9,Scotland,STV North
AB16 5,Scotland,STV North
AB16 6,Scotland,STV North
AB16 7,Scotland,STV North
AB16 9,Scotland,STV North
AB21 0,Scotland,STV North
AB21 1,Scotland,STV North
AB21 7,Scotland,STV North
AB21 9,Scotland,STV North
AB22 8,Scotland,STV North
AB22 9,Scotland,STV North
AB23 8,Scotland,STV North
AB23 9,Scotland,STV North
AB24 1,Scotland,STV North
AB24 2,Scotland,STV North
AB24 3,Scotland,STV North
AB24 4,Scotland,STV North
AB24 5,Scotland,STV North
AB25 1,Scotland,STV North
AB25 2,Scotland,STV North
AB25 3,Scotland,STV North
AB25 9,Scotland,STV North
AB30 1,Scotland,STV North
AB31 4,Scotland,STV North
AB31 5,Scotland,STV North
AB31 6,Scotland,STV North
AB31 9,Scotland,STV North
AB32 6,Scotland,STV North
AB32 7,Scotland,STV North
AB32 9,Scotland,STV North
AB33 8,Scotland,STV North
AB34 4,Scotland,STV North
AB34 5,Scotland,STV North
AB35 5,Scotland,STV North
AB36 8,Scotland,STV North
AB37 9,Scotland,STV North
AB38 7,Scotland,STV North
AB38 9,Scotland,STV North
AB39 2,Scotland,STV North
AB39 3,Scotland,STV North
AB39 8,Scotland,STV North
AB39 9,Scotland,STV North
AB41 1,Scotland,STV North
AB41 6,Scotland,STV North
AB41 7,Scotland,STV North
AB41 8,Scotland,STV North
AB41 9,Scotland,STV North
AB42 0,Scotland,STV North
AB42 1,Scotland,STV North
AB42 2,Scotland,STV North
AB42 3,Scotland,STV North
AB42 4,Scotland,STV North
AB42 5,Scotland,STV North
AB42 9,Scotland,STV North
AB43 6,Scotland,STV North
AB43 7,Scotland,STV North
AB43 8,Scotland,STV North
AB43 9,Scotland,STV North
AB44 1,Scotland,STV North
AB45 1,Scotland,STV North
AB45 2,Scotland,STV North
AB45 3,Scotland,STV North
AB51 0,Scotland,STV North
AB51 1,Scotland,STV North
AB51 3,Scotland,STV North
AB51 4,Scotland,STV North
AB51 5,Scotland,STV North
AB51 6,Scotland,STV North
AB51 7,Scotland,STV North
AB51 8,Scotland,STV North
AB52 6,Scotland,STV North
AB53 4,Scotland,STV North
AB53 5,Scotland,STV North
AB53 6,Scotland,STV North
AB53 8,Scotland,STV North
AB53 9,Scotland,STV North
AB54 4,Scotland,STV North
AB54 6,Scotland,STV North
AB54 7,Scotland,STV North
AB54 8,Scotland,STV North
AB54 9,Scotland,STV North
AB55 4,Scotland,STV North
AB55 5,Scotland,STV North
AB55 6,Scotland,STV North
AB56 1,Scotland,STV North
AB56 4,Scotland,STV North
